id,category,name,italian_name,description,base_price,size_variants,images,available,featured,display_order
item_038,Entrees,Eggplant Parmigiana,Melanzane Parmigiana,Layered eggplant with marinara and mozzarella over pasta,16.99,{},,TRUE,FALSE,38
item_039,Entrees,Chicken & Greens,Pollo e Verdure,Sautéed chicken breast with ham and provolone served with rigatoni and Utica greens,16.99,{},,TRUE,FALSE,39
item_040,Entrees,Chicken Riggies,Pollo Riggies,Chicken breast with cherry peppers and pancetta in vodka sauce,16.99,{},,TRUE,FALSE,40
item_041,Entrees,Chicken Alfredo with Broccoli,Pollo Alfredo con Broccoli,Creamy alfredo sauce with chicken and fresh broccoli,16.99,{},,TRUE,FALSE,41
item_042,Baked Dishes,Stuffed Shells,Conchiglie Ripiene,Four jumbo shells with homemade marinara and mozzarella,11.99,"{""Add Sausage or Meatball"": 1.50}",,TRUE,FALSE,42
item_043,Baked Dishes,Manicotti,Manicotti,Three pasta tubes with ricotta and homemade marinara,11.99,"{""Add Sausage or Meatball"": 1.50}",,TRUE,FALSE,43
item_044,Baked Dishes,Baked Ravioli,Ravioli al Forno,Five large ricotta-filled ravioli with marinara and mozzarella,11.99,"{""Add Sausage or Meatball"": 1.50}",,TRUE,FALSE,44
item_045,Baked Dishes,Lasagna,Lasagna,Homemade layers of pasta ricotta seasoned beef and mozzarella,13.99,"{""Add Sausage or Meatball"": 1.50}",,TRUE,FALSE,45
item_046,Baked Dishes,Baked Ziti,Ziti al Forno,Mezzi rigatoni pasta with sauce and mozzarella baked golden brown,11.99,"{""Add Sausage or Meatball"": 1.50}",,TRUE,FALSE,46
item_047,Beverages,Soda,,Coca-Cola products,2.50,"{""20 oz"": 2.50, ""2 Liter"": 4.00}",,TRUE,FALSE,47
item_048,Beverages,Bottled Water,,Premium bottled water,1.50,{},,TRUE,FALSE,48
item_049,Beverages,Assorted Juices,,Orange apple and cranberry juice,2.00,{},,TRUE,FALSE,49
item_050,Desserts,Cannoli,Cannoli,Traditional cannoli filled fresh to order,4.50,{},,TRUE,FALSE,50
item_051,Desserts,Hemstrought's Half Moons,,Local Syracuse favorite - pack of 4,3.50,{},,TRUE,FALSE,51
item_052,Desserts,N.Y. Style Cheesecake,,Classic New York style cheesecake,4.95,{},,TRUE,FALSE,52
item_053,Desserts,Tiramisu,Tiramisu,Classic Italian tiramisu made fresh,5.95,{},,TRUE,FALSE,53
item_054,Desserts,Chocolate Chip Cookies,,Fresh baked chocolate chip cookies,2.50,{},,TRUE,FALSE,54
item_055,Desserts,Chocolate Cake,,Rich chocolate layer cake,4.50,{},,TRUE,FALSE,55
