id,category,name,description,base_price,size_variants,images,available,featured,display_order
item_030,Specialty Pizza,Margherita Pizza,Fresh Garlic Base - Cherry Tomatoes - Fresh Basil Loaded with Mozzarella - Pecorino Romano Cheese Drizzled with Balsamic Glaze,21.99,"{""12\"""": 17.99, ""16\"""": 21.99}",,TRUE,TRUE,30
item_031,Specialty Pizza,Chicken Parmigiana Pizza,Tender strips of Breaded Chicken on a Red Sauce Smothered with Mozzarella Topped with Fresh Basil,21.99,"{""12\"""": 17.99, ""16\"""": 21.99}",,TRUE,FALSE,31
item_032,Specialty Pizza,Napoli's Old Fashioned Pizza,Mozzarella Base - Topped with our Homemade Marinara Sauce or Pizza Sauce,20.99,"{""12\"""": 17.99, ""16\"""": 20.99}",,TRUE,FALSE,32
item_033,Specialty Pizza,Utica Greens Pizza,Our Own Homemade Utica Greens - On a White Garlic Base - Topped with Mozzarella - Italian Cheeses,22.99,"{""12\"""": 17.99, ""16\"""": 22.99}",,TRUE,TRUE,33
item_034,Specialty Pizza,Grandma's Pizza,Sicilian Crust Dough - EVOO - Basil - Fresh Mozzarella - Topped with Tomato Sauce - Italian Cheese - Dash of Oregano,21.99,"{""12\"""": 17.99, ""16\"""": 21.99}",,TRUE,TRUE,34
item_035,Specialty Pizza,Napoli's Special Pizza,5 Toppings of Your Choice On a Red or White Sauce,23.99,"{""12\"""": 17.99, ""16\"""": 23.99}",,TRUE,FALSE,35
item_036,Entrees,Spaghetti or Mezzi Rigatoni Pasta,A Classic Favorite - A Generous Portion of Rummo Pasta cooked Al Dente with marinara sauce. Add Two Housemade Meatballs or Sausage Links 3.00. (Gluten Free Pasta) Served with 2 Garlic Knots,13.99,{},,TRUE,FALSE,36
item_037,Entrees,Chicken Parmigiana,Freshly Breaded Chicken Breast Served over Spaghetti or Rigatoni Pasta with Mozzarella Cheese,16.99,{},,TRUE,FALSE,37
item_038,Entrees,Eggplant Parmigiana,Thinly Sliced Eggplant layered with Marinara - Mozzarella Baked to Perfection over Spaghetti or Rigatoni Pasta,16.99,{},,TRUE,FALSE,38
item_039,Entrees,Chicken & Greens,Freshly Prepared Chicken Breast Sauteed Golden Brown Topped off with a slice of Ham - Provolone Cheese Baked and Served with a side of Rigatoni and a Generous Portion of Utica Greens and Italian Cheeses,16.99,{},,TRUE,FALSE,39
item_040,Entrees,Chicken Riggies,Tender Pieces of Chicken Breast Cherry Peppers Red Onion - Pancetta in a Vodka Sauce with Rigatoni,16.99,{},,TRUE,FALSE,40
item_041,Entrees,Chicken Alfredo with Broccoli,Chicken Alfredo with Broccoli,16.99,{},,TRUE,FALSE,41
item_042,Entrees,Stuffed Shells,4 Jumbo Shells - Homemade Marinara Sauce Smothered in Mozzarella. (Gluten Free Pasta),11.99,"{""Add Sausage or Meatball(ea.)"": 1.50}",,TRUE,FALSE,42
item_043,Entrees,Manicotti,3 Tubular Shape Pasta Homemade Marinara Smothered in Mozzarella,11.99,"{""Add Sausage or Meatball(ea.)"": 1.50}",,TRUE,FALSE,43
item_044,Entrees,Baked Ravioli,5 Large Ricotta Filled Raviolis Homemade Marinara Sauce Topped with Mozzarella and Baked,11.99,"{""Add Sausage or Meatball(ea.)"": 1.50}",,TRUE,FALSE,44
item_045,Entrees,Lasagna,"100% Homemade. Layers upon layers of Lasagna sheets, Ricotta, seasoned beef, Fresh Mozzarella & Lots of Homemade Sauce Baked to Perfection",13.99,"{""Add Sausage or Meatball(ea.)"": 1.50}",,TRUE,FALSE,45
item_046,Entrees,Baked Ziti,Mezzi Rigatoni Pasta cooked Al Dente Smothered in Sauce - Topped with Mozzarella Baked to a Golden Brown. ADD SAUSAGE LINKS OR MEATBALLS 1.50/each,11.99,"{""Add Sausage or Meatball(ea.)"": 1.50}",,TRUE,FALSE,46
item_047,Beverages,Soda,Proudly Serving Coca-Cola Products,0.00,"{""20 oz"": 0.00, ""2 Liter"": 0.00}",,TRUE,FALSE,47
item_048,Beverages,Bottled Water,Bottled Water,0.00,{},,TRUE,FALSE,48
item_049,Beverages,Assorted Juices,Assorted Juices,0.00,{},,TRUE,FALSE,49
item_050,Desserts,Cannoli,Filled to Order,0.00,{},,TRUE,FALSE,50
item_051,Desserts,Hemstrought's Half Moons,Pack of 4,0.00,{},,TRUE,FALSE,51
item_052,Desserts,N.Y. Style Cheesecake,New York Style Cheesecake,0.00,{},,TRUE,FALSE,52
item_053,Desserts,Tiramisu,Classic Italian Tiramisu,0.00,{},,TRUE,FALSE,53
item_054,Desserts,Chocolate Chip Cookies,Chocolate Chip Cookies,0.00,{},,TRUE,FALSE,54
item_055,Desserts,Chocolate Cake,Chocolate Cake,0.00,{},,TRUE,FALSE,55
