item_id,item_name,category,food_description,background_description
item_043,Grandma's Pizza,Specialty Pizza,"A delicious square Grandma's pizza in a rectangular baking pan. It features a thin Sicilian crust, fresh mozzarella, and is topped with dollops of tomato sauce and basil.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_044,Napoli's Special Pizza,Specialty Pizza,"A loaded 16-inch 'Napoli's Special' pizza on a metal tray. The red sauce pizza is covered with five toppings: pepperoni, Italian sausage, green peppers, onions, and mushrooms.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_045,Cheese Calzone,Specialty Items,"A large, golden-brown baked cheese calzone, brushed with garlic butter. It's cut in half on parchment paper to show the abundant filling of creamy ricotta and melted mozzarella.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_046,Stromboli,Specialty Items,"A golden-brown baked stromboli, cut in half on parchment paper to reveal a filling of ham, pepperoni, green peppers, and melted mozzarella.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_047,Pepperoni Roll,Specialty Items,"A freshly baked pepperoni roll, cut in half and placed on parchment paper to show the delicious spiral of pepperoni and mozzarella cheese inside the soft dough.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_048,Chicken Wing Calzone,Specialty Items,"A golden-brown baked calzone, cut open on parchment paper to reveal a cheesy filling of ricotta, mozzarella, and breaded chicken mixed with medium-heat wing sauce.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_049,Homemade Garlic Knots,Specialty Items,"Six glistening, homemade garlic knots in a simple red plastic basket lined with parchment paper. They are generously coated in garlic butter, fresh parsley, and grated parmesan cheese.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_050,Stuffed Shells,Baked Dishes,"A baked dish of four jumbo pasta shells in a round aluminum foil to-go container. The shells are filled with creamy ricotta, covered in homemade marinara sauce, and smothered in golden-brown melted mozzarella.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_051,Manicotti,Baked Dishes,"Three large manicotti pasta tubes baked in a round aluminum foil to-go container. They are filled with cheese, covered in marinara sauce, and baked with a thick layer of melted mozzarella on top.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_052,Baked Ravioli,Baked Dishes,"A serving of five large, ricotta-filled ravioli baked in a round aluminum foil to-go container. The ravioli are topped with homemade marinara sauce and a generous amount of melted mozzarella cheese.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_053,Lasagna,Baked Dishes,"A thick, hearty slice of homemade lasagna in a round aluminum foil to-go container. Visible layers of pasta, beef, ricotta, and mozzarella are topped with a rich meat sauce.","Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
item_054,Baked Ziti,Baked Dishes,Classic baked ziti in a round aluminum foil to-go container. Mezzi rigatoni is smothered in sauce and topped with mozzarella baked to a golden brown.,"Shot on a stainless steel counter. Natural daylight coming in from the front pizzeria shop windows. The background is a severely out-of-focus pizzeria kitchen, with ovens and equipment blurred into a pleasing bokeh. The result feels authentic and hearty. --no people, no hands, no logos, no text, no writing, no brand names, no fake menus"
